iter	Passed	Remaining
0	4	991
1	9	975
2	14	940
3	17	878
4	25	981
5	30	980
6	35	978
7	41	995
8	45	959
9	50	950
10	54	930
11	58	908
12	64	929
13	68	907
14	71	885
15	75	863
16	78	848
17	82	834
18	85	816
19	90	812
20	94	801
21	97	787
22	100	775
23	104	763
24	107	750
25	111	748
26	115	741
27	119	733
28	124	731
29	131	743
30	134	732
31	137	721
32	141	718
33	161	786
34	165	778
35	168	767
36	171	756
37	175	746
38	178	738
39	183	732
40	186	723
41	190	715
42	193	706
43	196	696
44	199	688
45	204	684
46	208	678
47	211	670
48	216	665
49	220	660
50	228	667
51	234	667
52	240	668
53	244	660
54	247	651
55	250	644
56	254	638
57	258	633
58	263	628
59	268	625
60	272	621
61	274	611
62	282	614
63	287	610
64	288	598
65	293	596
66	297	590
67	300	583
68	303	576
69	307	570
70	310	565
71	313	558
72	319	555
73	322	549
74	325	542
75	329	537
76	333	532
77	336	526
78	339	519
79	344	516
80	347	510
81	350	505
82	354	499
83	357	494
84	360	488
85	363	481
86	366	476
87	370	471
88	374	466
89	377	461
90	382	457
91	385	452
92	388	446
93	391	441
94	396	437
95	399	432
96	402	427
97	406	422
98	409	418
99	414	414
100	417	409
101	421	405
102	426	402
103	430	397
104	434	392
105	437	387
106	440	382
107	444	378
108	447	373
109	450	368
110	453	363
111	459	360
112	462	355
113	465	350
114	468	346
115	472	342
116	475	337
117	478	332
118	484	329
119	487	325
120	490	320
121	493	315
122	498	312
123	501	307
124	505	303
125	510	299
126	514	295
127	517	291
128	523	287
129	527	283
130	530	279
131	534	275
132	538	271
133	541	266
134	547	263
135	552	259
136	555	255
137	561	252
138	564	247
139	567	243
140	573	239
141	576	235
142	579	230
143	585	227
144	589	223
145	592	219
146	597	215
147	601	211
148	604	207
149	610	203
150	614	199
151	618	195
152	622	191
153	626	187
154	629	182
155	637	179
156	640	175
157	644	171
158	649	167
159	653	163
160	657	159
161	662	155
162	665	151
163	671	147
164	677	143
165	680	139
166	685	135
167	689	131
168	692	127
169	697	123
170	701	118
171	704	114
172	708	110
173	712	106
174	717	102
175	722	98
176	726	94
177	730	90
178	735	86
179	740	82
180	744	78
181	749	74
182	754	70
183	758	65
184	763	61
185	766	57
186	769	53
187	775	49
188	778	45
189	782	41
190	787	37
191	791	32
192	795	28
193	801	24
194	804	20
195	807	16
196	811	12
197	816	8
198	819	4
199	825	0
